String;Band;BsbId;Seite;Link;alternativ
Liudprand von Cremona, Historia Ottonis, in: Die Werke Liudprands von Cremona, ed. Joseph Becker (MGH SS. rer. Germ. [41]), Hannover – Leipzig ³1915, S. 159-175.;MGH SS rer. Germ. 41;743;159;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._41_S._159;
Liudprand von Cremona, Legatio, in: Die Werke Liudprands von Cremona, ed. Joseph Becker (MGH SS. rer. Germ. [41]), Hannover – Leipzig ³1915, S. 175-212.;MGH SS rer. Germ. 41;743;175;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._41_S._175;
Adam von Bremen, Gesta Hammaburgensis ecclesiae pontificum, ed. Bernhard Schmeidler (MGH SS rer. Germ. [2]), Hannover 31917, S. 1-283.;MGH SS rer. Germ. 2;756;1;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._2_S._1;
Die Annales Quedlinburgenses, ed. Martina Giese (MGH SS rer. Germ. 72), Hannover 2004.;MGH SS rer. Germ. 72;719;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._72;
Chronicon qui dicuntur Fredegarii Scholastici Libri IV cum continuationibus, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 1-193.;MGH SS rer. Merov. 2;749;1;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._1;
Annales Laureshamenses, ed. Georg Heinrich Pertz, in: MGH SS 1, Hannover 1826, S. 22-39.;MGH SS 1;;22;;http://www.mgh.de/dmgh/resolving/MGH_SS_1_S._22
Annales Sancti Amandi, ed. Georg Heinrich Pertz, in: MGH SS 1, Hannover 1826, S. 6-14.;MGH SS 1;;6;;http://www.mgh.de/dmgh/resolving/MGH_SS_1_S._6
Annales Tiliani, ed. Georg Heinrich Pertz, in: MGH SS 1, Hannover 1826, S. 6, 8, 219-224.;MGH SS 1;;;;http://www.mgh.de/dmgh/resolving/MGH_SS_1
Annales Alamannici, ed. Georg Heinrich Pertz, in: MGH SS 1, Hannover 1826, S. 22-60.;MGH SS 1;;22;;http://www.mgh.de/dmgh/resolving/MGH_SS_1_S._22
Nithardi Historiarum libri IIII, ed. Georg Heinrich Pertz (MGH SS rer. Germ. [44]), Hannover – Leipzig 1907.;MGH SS rer. Germ. 44;945;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._44;
Die Chroniken Bertholds von Reichenau und Bernolds von Konstanz 1054-1100, ed. Ian Stuart Robinson (MGH SS rer. Germ. N.S. 14), Hannover 2003.;MGH SS rer. Germ. N. S. 14;694;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._N._S._14;
Gesta Dagoberti I. regis Francorum, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 396-425.;MGH SS rer. Merov. 2;749;396;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._396;
Annales Lobienses, ed. Georg Waitz, in: MGH SS 13, Hannover 1881, S. 224-235.;MGH SS 13;875;224;http://www.mgh.de/dmgh/resolving/MGH_SS_13_S._224;
Paulus Warnefridus, Liber de episcopis Mettensibus, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 260-270.;MGH SS 2;;260;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._260
Annales Besuenses, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 247-250.;MGH SS 2;;247;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._247
Adbreviatio de gestis Langobardorum, ed. Waitz, in: MGH SS rer Lang. [1], Hannover 1878, S. 220-230.;MGH SS rer Lang. 1;;220;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer_Lang._1_S._220
Annales Barenses, ed. Georg Pertz, in: MGH SS 5, Hannover 1844, S. 51-63.;MGH SS 5;872;51;http://www.mgh.de/dmgh/resolving/MGH_SS_5_S._51;
Isidor, Historia Gothorum Wandalorum Sueborum, ed. Theodor Mommsen, in: MGH SS Auct. ant. 11, Berlin 1894, S. 241-390.;MGH SS Auct. ant. 11;;241;;http://www.mgh.de/dmgh/resolving/MGH_SS_Auct._ant._11_S._241
Annales Petaviani, ed. Georg Heinrich Pertz, in: MGH SS 1, Hannover 1826, S. 3-18;MGH SS 1;;3;;http://www.mgh.de/dmgh/resolving/MGH_SS_1_S._3
 Annales Petaviani, ed. Georg Heinrich Pertz, in: MGH SS 3, Hannover 1839, S. 170.;MGH SS 3;;170;;http://www.mgh.de/dmgh/resolving/MGH_SS_3_S._170
Die Geschichte vom Leben des Johannes, Abt des Klosters Gorze / Hystoria de vita domni Iohannis Gorzie coenobii abbatis, ed. Peter Christian Jacobsen (MGH SS rer. Germ. 81), Wiesbaden 2016.;MGH SS rer. Germ. 81;;;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._81
Ex Syri Vita S. Maioli, ed. Georg Waitz, in: MGH SS 4, Hannover 1841, S. 649-655.;MGH SS 4;871;649;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._649;
Vita Willibaldi episcopi Eichstetensis, ed. Oswald Holder-Egger, in: MGH SS 15, 1, Hannover 1887, S. 86-106.;MGH SS 15;;86;;http://www.mgh.de/dmgh/resolving/MGH_SS_15_S._86
Flodoard von Reims, Die Geschichte der Reimser Kirche, ed. Martina Stratmann (MGH SS 36), Hannover 1998.;MGH SS 36;606;;http://www.mgh.de/dmgh/resolving/MGH_SS_36;
Mariani Scotti Chronicon, ed. Georg Waitz, in: MGH SS 5, Hannover 1844, S. 481-564.;MGH SS 5;872;481;http://www.mgh.de/dmgh/resolving/MGH_SS_5_S._481;
Annales Fuldenses Antiquissimi, ed. Friedrich Kurze, in: MGH SS rer. Germ. [7], Hannover 1891, S. 136-138.;MGH SS rer. Germ. 7;;136;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._7_S._136
Annales Vedastini, ed. Bernhard von Simson, in: MGH SS rer. Germ. [12], Hannover – Leipzig 1909, S. 40-82.;MGH SS rer. Germ. 12;764;40;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._12_S._40;
Carmen Nigelli Ermoldi exulis in laudem gloriosissimi Pippini regis, ed. Ernst Dümmler, in: MGH Poetae 2, Berlin 1884, S. 79-91.;MGH Poetae 2;832;79;http://www.mgh.de/dmgh/resolving/MGH_Poetae_2_S._79;
Epitaphium Adalheidae imperatricis auctore Odilone, ed. Georg Heinrich Pertz, in: MGH SS 4, Hannover 1841, S. 633-649.;MGH SS 4;871;633;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._633;
Anskarii Vita sancti Willehadi, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 378-390.;MGH SS 2;;378;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._378
Brunos Buch vom Sachsenkrieg, ed. Hans-Eberhard Lohmann (MGH Dt. MA 2), Leipzig 1937.;MGH Dt. MA 2;615;;http://www.mgh.de/dmgh/resolving/MGH_Dt._MA_2;
Translatio s. Alexandri auctoribus Ruodolfo et Meginharto, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 673-681.;MGH SS 2;;673;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._673
Vita sancti Anskarii. A Rimberto et alio discipulo Anskarii conscripta, ed. Christoph Friedrich Dahlmann, in: MGH SS 2, Hannover 1829, S. 683-725;MGH SS 2;;683;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._683
 Vita Anskarii auctore Rimberto, ed. Georg Waitz, in: MGH SS rer. Germ. [55], Hannover 1884, S. 5-79.;MGH SS rer. Germ. 55;703;5;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._55_S._5;
Vita Bernwardi episcopi Hildesheimensis auctore Thangmaro, ed. Georg Heinrich Pertz, in: MGH SS 4, Hannover 1841, S. 754-782.;MGH SS 4;871;754;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._754;
Ruotgeri vita Brunonis archiepiscopi Coloniensis, ed. Irene Ott (MGH SS rer. Germ. N.S. 10), Weimar 1951.;MGH SS rer. Germ. N. S. 10;690;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._N._S._10;
Agii vita et obitus Hathumodae, ed. Georg Heinrich Pertz, in: MGH SS 4, Hannover 1841, S. 165-189.;MGH SS 4;871;165;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._165;
Liudgeri vita Gregorii abbatis Traiectensis, ed. Oswald Holder-Egger, in: MGH SS 15,1, Hannover 1887, S. 63-79.;MGH SS 15,1;890;63;http://www.mgh.de/dmgh/resolving/MGH_SS_15,1_S._63;
Annales Brunwilarenses, ed. Georg Heinrich Pertz, in: MGH SS 16, Hannover 1859, S. 724-728;MGH SS 16;943;724;http://www.mgh.de/dmgh/resolving/MGH_SS_16_S._724;
 Annalium Brunwilarensium supplementum ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 216 Ergänzungen 1000-1149.;MGH SS 2;;216;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._216
Annales Floriacenses, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 254-255.;MGH SS 2;;254;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._254
Annales Lemovicenses, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 251-252.;MGH SS 2;;251;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._251
Annales ut videtur Alcuini, ed. Georg Heinrich Pertz, in: MGH SS 4, Hannover 1841, S. 2.;MGH SS 4;871;2;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._2;
Annales S. Amandi breves, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 184.;MGH SS 2;;184;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._184
Annales S. Bavonis Gandensis, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 185-191.;MGH SS 2;;185;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._185
Annales Sancti Maximini Trevirensis, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 212-213 aus einer Abschrift des 14. Jahrhunderts;MGH SS 2;;212;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._212
 Annales Sancti Maximini Trevirensis, ed. Georg Heinrich Pertz, in: MGH SS 4, Hannover 1841, S. 5-7 aus dem Codex Goerres.;MGH SS 4;871;5;http://www.mgh.de/dmgh/resolving/MGH_SS_4_S._5;
