String;Band;BsbId;Seite;Link;alternativ
Historia translationis s. Viti, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 576-585.;MGH SS 2;;576;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._576
Passio sancti Sigismundi regis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 329-340.;MGH SS rer. Merov. 2;749;329;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._329;
Gesta Theoderici regis. Vita ex Aimoino hausta, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 210-214.;MGH SS rer. Merov. 2;749;210;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._210;
De vita sanctae Radegundis libri duo, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 358-395.;MGH SS rer. Merov. 2;749;358;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._358;
Vita sancti Chlodovaldi, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 349-357.;MGH SS rer. Merov. 2;749;349;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._349;
Vita sanctae Geretrudis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 447-474.;MGH SS rer. Merov. 2;749;447;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._447;
Vita sanctae Balthildis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 475-508.;MGH SS rer. Merov. 2;749;475;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._475;
Vita Dagoberti III. regis Francorum, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 509-524.;MGH SS rer. Merov. 2;749;509;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._509;
Annales Wirziburgenses, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 238-247.;MGH SS 2;;238;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._238
Gesta Theoderici regis. Vita Fuldensis, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 202-210.;MGH SS rer. Merov. 2;749;202;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._202;
Chronicon Novaliciense, ed. Ludwig Konrad Bethmann, in: MGH SS 7, Hannover 1846, S. 73-133.;MGH SS 7;1080;73;http://www.mgh.de/dmgh/resolving/MGH_SS_7_S._73;
Chronicon Moissiacense, ed. Georg Heinrich Pertz, in: MGH SS 1, Hannover 1826, S. 280-313;MGH SS 1;;280;;http://www.mgh.de/dmgh/resolving/MGH_SS_1_S._280
 Ex Chronico Moissiacensi, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 257-259.;MGH SS 2;;257;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._257
Richer von Saint-Remi, Historiarum libri IV ed. Hartmut Hoffmann (MGH SS 38), Hannover 2000.;MGH SS 38;607;;http://www.mgh.de/dmgh/resolving/MGH_SS_38;
 Continuatio Isidoriana Hispana a. DCCLIV, ed. Theodor Mommsen, in: MGH Auct. ant. 11, Berlin 1894, S. 323–369;MGH Auct. ant. 11;823;323;http://www.mgh.de/dmgh/resolving/MGH_Auct._ant._11_S._323;
Vita Gregorii abbatis prior, ed. Oswald Holder-Egger, in: MGH SS 15,2, Hannover 1888, S. 1187-1190.;MGH SS 15,2;889;1187;http://www.mgh.de/dmgh/resolving/MGH_SS_15,2_S._1187;
Vita Gregorii abbatis porcetensis posterior, ed. Oswald Holder-Egger, in: MGH SS 15,2, Hannover 1888, S. 1191-1199.;MGH SS 15,2;889;1191;http://www.mgh.de/dmgh/resolving/MGH_SS_15,2_S._1191;
Annales Mettenses priores, ed. Bernhard von Simson (MGH SS rer. Germ. [10]), Hannover – Leipzig 1905.;MGH SS rer. Germ. 10;763;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._10;
